Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
1,1552275970,10.0.2.15,100215,23,81,25595,16384,8192,Sun,Mar,23,46,9,69,16,4,0,42696823,18794034,12394000,0,41.2,31.6,144528,389152,2709211136,12331560960,117620,1041484,542136,1013643,416624566,1008199613,95.2,64,Web_Attack
2,1552275970,10.0.2.15,100215,23,81,25594,16384,8192,Sun,Mar,23,46,9,69,16,3,0,42698256,18794608,12394242,0,41.3,31.6,144528,389156,2709211136,12332683264,117620,1041520,542142,1013650,416625720,1008201419,100,64,Web_Attack
3,1552275970,10.195.6.40,10195640,7634,293,35749,16384,8192,Sun,Mar,23,46,9,69,11,6,1,42699528,18796172,12394467,0,41.9,31.6,144528,389156,2709211136,12332683264,117620,1041520,542142,1013650,416625720,1008201419,100,64,Web_Attack
4,1552275970,10.195.6.40,10195640,3917,317,35724,16384,8192,Sun,Mar,23,46,10,69,14,6,0,42700498,18798244,12394692,0,42.1,31.6,144528,389156,2709211136,12332683264,117620,1041520,542142,1013650,416625720,1008201419,100,64,Web_Attack
5,1552275970,10.0.2.15,100215,23,60,31266,16384,8192,Sun,Mar,23,46,10,69,12,7,1,42702290,18799115,12394897,0,42.5,31.6,144528,389156,2709211136,12332683264,117620,1041520,542147,1013654,416626317,1008202073,100,64,Web_Attack
6,1552275971,64.78.224.185,6478224185,9758,44,31882,16384,8192,Sun,Mar,23,46,10,69,14,3,3,42704300,18799936,12395183,0,42.6,31.6,144531,389159,2709309440,12332888064,117620,1041520,542196,1013696,416634325,1008209476,94.7,64,Web_Attack
7,1552275971,10.0.2.15,100215,23,40,31285,16384,8192,Sun,Mar,23,46,10,69,11,6,2,42708706,18801283,12395551,0,43,31.6,144531,389159,2709309440,12332888064,117620,1041520,542295,1013805,416651946,1008273567,89.5,64,Web_Attack
8,1552275971,10.0.2.15,100215,23,336,30988,16384,8192,Sun,Mar,23,46,10,69,11,8,0,42712923,18802879,12396019,0,43.7,31.6,144531,389164,2709309440,12333133824,117620,1041524,542407,1014034,416659187,1008581239,90,64,Web_Attack
9,1552275971,64.78.224.185,6478224185,372,40,31885,16384,8192,Sun,Mar,23,46,11,69,6,3,8,42714417,18803869,12396544,0,43.7,31.6,144531,389538,2709309440,12337561600,117620,1042724,542488,1014191,416665712,1008779722,89.5,64,Web_Attack
10,1552275971,64.78.224.185,6478224185,8425,424,31500,16384,8192,Sun,Mar,23,46,11,69,5,2,11,42715515,18804805,12396820,0,44.2,31.6,144531,389538,2709309440,12337561600,117620,1042724,542507,1014211,416668028,1008792012,66.7,64,Web_Attack
11,1552275972,10.0.2.15,100215,23,40,31283,16384,8192,Sun,Mar,23,46,11,69,4,2,10,42717390,18805662,12397281,0,44.4,31.6,144531,389541,2709309440,12337692672,117620,1042784,542746,1014543,416682408,1009212961,35,64,Web_Attack
12,1552275972,10.0.2.15,100215,23,83,25394,16384,8192,Sun,Mar,23,46,11,69,8,2,9,42718200,18806139,12397424,0,44.6,31.6,144531,389541,2709309440,12337692672,117620,1042784,542746,1014543,416682408,1009212961,52.6,64,Web_Attack
13,1552275972,10.0.2.15,100215,23,83,25393,16384,8192,Sun,Mar,23,46,11,69,10,3,7,42719374,18806703,12397720,0,44.8,31.6,144531,389543,2709309440,12337709056,117620,1042784,542805,1014594,416690883,1009233797,44.4,64,Web_Attack
14,1552275972,10.195.6.40,10195640,3011,237,35800,16384,8192,Sun,Mar,23,46,12,69,3,1,15,42721089,18807378,12398151,0,44.8,31.6,144531,389543,2709309440,12337709056,117620,1042784,542932,1014778,416704949,1009365926,27.8,64,Web_Attack
15,1552275972,10.0.2.15,100215,23,82,25385,16384,8192,Sun,Mar,23,46,12,69,10,0,9,42721675,18807720,12398415,0,45.2,31.6,144531,389543,2709309440,12337709056,117620,1042784,542988,1014845,416708947,1009425260,52.6,64,Web_Attack
16,1552275973,10.0.2.15,100215,23,82,25384,16384,8192,Sun,Mar,23,46,12,69,11,0,9,42721984,18807983,12398667,0,45.2,31.6,144531,389543,2709309440,12337709056,117620,1042784,543020,1014881,416712005,1009429386,50,64,Web_Attack
17,1552275973,10.195.6.40,10195640,1570,109,35927,16384,8192,Sun,Mar,23,46,12,69,10,2,9,42722225,18808230,12398814,0,45.2,31.6,144531,389543,2709309440,12337709056,117620,1042784,543020,1014881,416712005,1009429386,75,64,Web_Attack
18,1552275973,10.0.2.15,100215,23,89,25376,16384,8192,Sun,Mar,23,46,12,69,16,4,0,42722842,18808539,12399046,0,45.3,31.6,144531,389551,2709309440,12337987584,117620,1042788,543052,1014915,416716624,1009437142,89.5,64,Web_Attack
19,1552275973,10.195.6.40,10195640,2642,171,35864,16384,8192,Sun,Mar,23,46,13,69,18,2,0,42723932,18809012,12399268,0,45.6,31.6,144531,389551,2709309440,12337987584,117620,1042788,543089,1014970,416720787,1009463681,52.4,64,Web_Attack
20,1552275973,10.0.2.15,100215,23,60,65429,16384,8192,Sun,Mar,23,46,13,69,9,0,10,42724086,18809201,12399375,0,45.6,31.6,144531,389551,2709309440,12337987584,117620,1042788,543089,1014970,416720787,1009463681,50,64,Web_Attack
21,1552275974,10.0.2.15,100215,23,60,14111,16384,8192,Sun,Mar,23,46,13,69,7,1,11,42724168,18809323,12399516,0,45.1,31.6,144531,389555,2709309440,12338003968,117620,1042792,543093,1014972,416721151,1009463849,4.5,64,Web_Attack
22,1552275974,10.0.2.15,100215,23,60,19933,16384,8192,Sun,Mar,23,46,13,69,0,0,19,42724237,18809389,12399590,0,45.1,31.6,144531,389555,2709309440,12338003968,117620,1042792,543099,1014979,416722285,1009464847,15,64,Web_Attack
23,1552275974,10.0.2.15,100215,23,60,26493,16384,8192,Sun,Mar,23,46,14,69,1,1,18,42724610,18809631,12399800,0,45.1,31.6,144531,389555,2709309440,12338003968,117620,1042792,543139,1015025,416728483,1009477700,0,64,Web_Attack
24,1552275974,10.0.2.15,100215,23,60,17704,16384,8192,Sun,Mar,23,46,14,69,0,0,20,42724670,18809686,12399855,0,45.1,31.6,144531,389558,2709309440,12338139136,117620,1042796,543139,1015025,416728483,1009477700,0,64,Web_Attack
25,1552275974,10.195.6.40,10195640,2833,120,35914,16384,8192,Sun,Mar,23,46,14,69,0,0,20,42724812,18809757,12399904,0,45.1,31.6,144531,389558,2709309440,12338139136,117620,1042796,543139,1015025,416728483,1009477700,0,64,Web_Attack
26,1552275975,10.195.6.40,10195640,7087,136,35897,16384,8192,Sun,Mar,23,46,14,69,0,0,19,42724951,18809843,12399956,0,45.1,31.6,144531,389558,2709309440,12338139136,117620,1042796,543139,1015025,416728483,1009477700,19,64,Web_Attack
27,1552275975,10.0.2.15,100215,23,81,25377,16384,8192,Sun,Mar,23,46,14,69,1,0,20,42725299,18809940,12400006,0,45.1,31.6,144531,389558,2709309440,12338139136,117620,1042796,543139,1015025,416728483,1009477700,10.5,64,Web_Attack
28,1552275975,10.195.6.40,10195640,8488,166,35866,16384,8192,Sun,Mar,23,46,15,69,4,3,12,42726370,18810412,12400181,0,45.2,31.6,144531,389558,2709309440,12338139136,117620,1042796,543154,1015042,416730850,1009479371,13.6,64,Web_Attack
29,1552275975,10.0.2.15,100215,23,60,45875,16384,8192,Sun,Mar,23,46,15,69,1,0,19,42726878,18810616,12400251,0,45.2,31.6,144531,389558,2709309440,12338139136,117620,1042796,543154,1015042,416730850,1009479371,20,64,Web_Attack
30,1552275975,10.0.2.15,100215,23,86,25364,16384,8192,Sun,Mar,23,46,15,69,4,2,12,42727911,18810929,12400400,0,45.2,31.6,144531,389558,2709309440,12338139136,117620,1042796,543154,1015042,416730850,1009479371,15,64,Web_Attack
31,1552275976,10.0.2.15,100215,23,86,25363,16384,8192,Sun,Mar,23,46,15,69,0,0,20,42728439,18811146,12400445,0,45.2,31.6,144531,389558,2709309440,12338139136,117620,1042796,543154,1015042,416730850,1009479371,0,64,Web_Attack
32,1552275976,10.0.2.15,100215,23,60,43481,16384,8192,Sun,Mar,23,46,15,69,1,0,19,42728619,18811231,12400484,0,45.2,31.6,144531,389558,2709309440,12338139136,117620,1042796,543154,1015042,416730850,1009479371,0,64,Web_Attack
33,1552275976,10.195.6.40,10195640,10776,234,35797,16384,8192,Sun,Mar,23,46,16,69,2,1,18,42729331,18811520,12400589,0,45.2,31.6,144531,389558,2709309440,12338139136,117620,1042796,543156,1015044,416730970,1009479491,0,64,Web_Attack
34,1552275976,54.186.163.246,54186163246,2660,44,49879,16384,8192,Sun,Mar,23,46,16,69,0,0,20,42729441,18811583,12400630,0,45.2,31.6,144531,389560,2709309440,12338159616,117620,1042796,543156,1015044,416730970,1009479491,9.5,64,Web_Attack
35,1552275976,10.0.2.15,100215,23,40,65448,16384,8192,Sun,Mar,23,46,16,69,0,1,19,42729998,18811729,12400682,0,45.2,31.6,144531,389560,2709309440,12338159616,117620,1042796,543156,1015044,416730970,1009479491,0,64,Web_Attack
36,1552275977,10.195.6.40,10195640,1162,274,35755,16384,8192,Sun,Mar,23,46,16,69,1,0,17,42730566,18811886,12400726,0,45.2,31.6,144531,389560,2709309440,12338159616,117620,1042796,543156,1015044,416730970,1009479491,38.9,64,Web_Attack
37,1552275977,10.0.2.15,100215,23,557,64930,16384,8192,Sun,Mar,23,46,16,69,4,1,14,42732656,18812700,12400849,0,45.2,31.6,144531,389560,2709309440,12338159616,117620,1042796,543156,1015044,416730970,1009479491,10.5,64,Web_Attack
38,1552275977,10.0.2.15,100215,23,217,39818,16384,8192,Sun,Mar,23,46,17,69,1,1,18,42734036,18813271,12400955,0,45.2,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,0,64,Web_Attack
39,1552275977,10.0.2.15,100215,23,230,43302,16384,8192,Sun,Mar,23,46,17,69,5,1,12,42734382,18813459,12401016,0,44.9,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,15,64,Web_Attack
40,1552275977,10.195.6.40,10195640,5521,92,35449,16384,8192,Sun,Mar,23,46,17,69,0,0,18,42735896,18813963,12401062,0,44.9,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,21.1,64,Web_Attack
41,1552275978,172.217.7.227,1722177227,9844,753,58381,16384,8192,Sun,Mar,23,46,17,69,2,2,15,42737320,18814452,12401156,0,44.8,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,11.8,64,Web_Attack
42,1552275978,172.217.15.109,17221715109,6574,1394,55493,16384,8192,Sun,Mar,23,46,17,69,0,0,20,42738386,18814792,12401213,0,44.6,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,10,64,Web_Attack
43,1552275978,10.0.2.15,100215,23,71,25105,16384,8192,Sun,Mar,23,46,18,69,0,0,20,42738615,18814899,12401256,0,44.6,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,0,64,Web_Attack
44,1552275978,10.195.6.40,10195640,10218,87,35093,16384,8192,Sun,Mar,23,46,18,69,0,0,20,42738730,18814963,12401308,0,44.6,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,0,64,Web_Attack
45,1552275979,172.217.15.99,1722171599,4918,177,56535,16384,8192,Sun,Mar,23,46,18,69,0,0,20,42738931,18815036,12401352,0,44.6,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,0,64,Web_Attack
46,1552275979,10.0.2.15,100215,23,70,25068,16384,8192,Sun,Mar,23,46,18,69,1,0,20,42739141,18815103,12401401,0,44.6,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,0,64,Web_Attack
47,1552275979,10.195.6.40,10195640,4799,98,34821,16384,8192,Sun,Mar,23,46,18,69,0,1,20,42739266,18815178,12401450,0,44.6,31.6,144531,389560,2709309440,12338159616,117620,1042796,543158,1015046,416731090,1009479611,0,64,Web_Attack
48,1552275979,10.0.2.15,100215,23,72,25010,16384,8192,Sun,Mar,23,46,19,69,6,0,12,42739635,18815347,12401537,0,44.6,31.6,144531,389560,2709309440,12338159616,117620,1042796,543161,1015048,416731795,1009479731,55,64,Web_Attack
49,1552275979,172.217.5.227,1722175227,6197,44,58989,16384,8192,Sun,Mar,23,46,19,69,8,1,11,42741229,18815891,12401754,0,44.7,31.6,144531,389562,2709309440,12338327552,117620,1042800,543178,1015066,416734202,1009487756,73.7,64,Web_Attack
50,1552275980,10.0.2.15,100215,23,248,24739,16384,8192,Sun,Mar,23,46,19,69,4,0,15,42742693,18816414,12401971,0,44.8,31.6,144531,389562,2709309440,12338327552,117620,1042800,543200,1015091,416737208,1009493720,15,64,Web_Attack
51,1552275980,10.0.2.15,100215,23,84,24833,16384,8192,Sun,Mar,23,46,19,69,0,0,21,42742977,18816553,12402029,0,44.8,31.6,144531,389562,2709309440,12338327552,117620,1042800,543200,1015091,416737208,1009493720,4.3,64,Web_Attack
52,1552275980,10.0.2.15,100215,23,84,24832,16384,8192,Sun,Mar,23,46,19,69,0,0,21,42743087,18816632,12402081,0,44.8,31.6,144531,389562,2709309440,12338327552,117620,1042800,543201,1015092,416737268,1009493780,0,64,Web_Attack
53,1552275980,52.88.72.192,528872192,9122,44,7120,16384,8192,Sun,Mar,23,46,20,69,0,0,22,42743198,18816701,12402125,0,44.8,31.6,144531,389562,2709309440,12338327552,117620,1042800,543201,1015092,416737268,1009493780,5.3,64,Web_Attack
54,1552275980,172.217.7.174,1722177174,5270,44,58447,16384,8192,Sun,Mar,23,46,20,69,1,1,19,42743418,18816866,12402166,0,44.7,31.6,144531,389562,2709309440,12338327552,117620,1042800,543201,1015092,416737268,1009493780,0,64,Web_Attack
55,1552275981,10.0.2.15,100215,23,139,1788,16384,8192,Sun,Mar,23,46,20,69,0,0,22,42743615,18816928,12402193,0,44.7,31.6,144531,389562,2709309440,12338327552,117620,1042800,543201,1015092,416737268,1009493780,0,64,Web_Attack
56,1552275981,10.0.2.15,100215,23,773,1153,16384,8192,Sun,Mar,23,46,20,69,0,0,24,42743735,18816959,12402226,0,44.7,31.6,144531,389562,2709309440,12338327552,117620,1042800,543209,1015100,416737748,1009494260,0,64,Web_Attack
57,1552275981,172.217.7.174,1722177174,1890,40,58432,16384,8192,Sun,Mar,23,46,21,69,0,0,21,42743783,18816994,12402280,0,44.7,31.6,144531,389562,2709309440,12338327552,117620,1042800,543210,1015101,416737808,1009494320,0,64,Web_Attack
58,1552275981,172.217.7.174,1722177174,10202,40,58431,16384,8192,Sun,Mar,23,46,21,69,8,1,10,42744347,18817366,12402342,0,44.5,31.6,144531,389562,2709309440,12338327552,117620,1042800,543211,1015102,416737955,1009494380,18.2,64,Web_Attack
59,1552275981,172.217.15.109,17221715109,5724,335,56150,16384,8192,Sun,Mar,23,46,21,69,3,1,14,42745060,18817614,12402449,0,44.5,31.6,144531,389562,2709309440,12338327552,117620,1042800,543214,1015107,416738175,1009494979,30,64,Web_Attack
60,1552275982,10.0.2.15,100215,23,40,22069,16384,8192,Sun,Mar,23,46,21,69,10,3,6,42746082,18818213,12402567,0,44.4,31.6,144531,389562,2709309440,12338327552,117620,1042800,543219,1015115,416738691,1009495747,20,64,Web_Attack
61,1552275982,72.21.91.29,72219129,6360,40,62860,16384,8192,Sun,Mar,23,46,21,69,6,1,12,42746774,18818507,12402674,0,44.4,31.6,144531,389562,2709309440,12338327552,117620,1042800,543223,1015121,416739060,1009496401,36.8,64,Web_Attack
62,1552275982,72.21.91.29,72219129,10088,40,62859,16384,8192,Sun,Mar,23,46,22,69,6,1,11,42748242,18819068,12402832,0,44.3,31.6,144531,389563,2709309440,12338339840,117620,1042800,543226,1015127,416739280,1009497053,10,64,Web_Attack
63,1552275982,10.0.2.15,100215,23,40,63222,16384,8192,Sun,Mar,23,46,22,69,7,3,10,42749278,18819413,12402947,0,44.2,31.6,144531,389563,2709309440,12338339840,117620,1042800,543230,1015131,416739520,1009497293,20,64,Web_Attack
64,1552275982,10.0.2.15,100215,23,40,55793,16384,8192,Sun,Mar,23,46,22,69,8,2,9,42750392,18819902,12403067,0,44.3,31.6,144531,389563,2709309440,12338339840,117620,1042800,543230,1015131,416739520,1009497293,0,64,Web_Attack
65,1552275983,172.217.7.227,1722177227,2070,40,58368,16384,8192,Sun,Mar,23,46,22,69,9,1,8,42751581,18820243,12403203,0,44.3,31.6,144533,389566,2709317632,12338450432,117624,1042804,543238,1015138,416740538,1009497871,27.8,64,Web_Attack
66,1552275983,172.217.7.227,1722177227,6897,40,58367,16384,8192,Sun,Mar,23,46,22,69,13,5,2,42753076,18820771,12403439,0,44.4,31.6,144539,389566,2709354496,12338450432,117632,1042804,543278,1015204,416744941,1009569446,84.2,64,Web_Attack
67,1552275983,10.0.2.15,100215,23,40,60754,16384,8192,Sun,Mar,23,46,23,69,13,2,4,42755902,18821549,12403805,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543342,1015324,416749555,1009718700,63.2,64,Web_Attack
68,1552275983,10.0.2.15,100215,23,60,15204,16384,8192,Sun,Mar,23,46,23,69,5,1,13,42757298,18822133,12404048,0,44.5,31.6,144542,389578,2709379072,12338688000,117636,1042812,543380,1015391,416753654,1009784421,57.9,64,Web_Attack
69,1552275984,192.30.253.113,19230253113,4447,44,56102,16384,8192,Sun,Mar,23,46,23,69,5,2,12,42759023,18822693,12404360,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543435,1015458,416760582,1009817706,31.6,64,Web_Attack
70,1552275984,10.0.2.15,100215,23,40,15223,16384,8192,Sun,Mar,23,46,23,69,4,2,14,42760259,18823046,12404589,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543453,1015481,416763670,1009823790,25,64,Web_Attack
71,1552275984,10.0.2.15,100215,23,557,14705,16384,8192,Sun,Mar,23,46,23,69,2,0,17,42760907,18823317,12404715,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543454,1015482,416763730,1009823850,0,64,Web_Attack
72,1552275984,192.30.253.113,19230253113,9122,40,56105,16384,8192,Sun,Mar,23,46,24,69,0,0,20,42761082,18823397,12404769,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543455,1015483,416763790,1009823910,13.6,64,Web_Attack
73,1552275984,192.30.253.113,19230253113,7072,2748,53396,16384,8192,Sun,Mar,23,46,24,69,0,0,20,42761284,18823525,12404877,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,5.3,64,Web_Attack
74,1552275985,10.0.2.15,100215,23,40,15221,16384,8192,Sun,Mar,23,46,24,69,0,0,20,42761516,18823627,12404919,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,15,64,Web_Attack
75,1552275985,192.30.253.113,19230253113,11210,968,55174,16384,8192,Sun,Mar,23,46,24,69,0,0,20,42761879,18824063,12404989,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
76,1552275985,10.0.2.15,100215,23,40,15220,16384,8192,Sun,Mar,23,46,24,69,0,0,20,42761970,18824118,12405041,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
77,1552275985,10.0.2.15,100215,23,490,29300,16384,8192,Sun,Mar,23,46,25,69,1,0,21,42762015,18824153,12405092,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
78,1552275985,72.21.91.29,72219129,6333,40,62851,16384,8192,Sun,Mar,23,46,25,69,0,0,19,42762147,18824214,12405154,0,44.6,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
79,1552275986,72.21.91.29,72219129,2624,828,62062,16384,8192,Sun,Mar,23,46,25,69,2,1,16,42762657,18824686,12405215,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
80,1552275986,10.0.2.15,100215,23,40,15218,16384,8192,Sun,Mar,23,46,25,69,0,0,22,42762687,18824718,12405254,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,4.5,64,Web_Attack
81,1552275986,10.0.2.15,100215,23,40,28245,16384,8192,Sun,Mar,23,46,26,69,0,0,20,42762744,18824766,12405304,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
82,1552275986,10.0.2.15,100215,23,40,31282,16384,8192,Sun,Mar,23,46,26,69,0,0,20,42762773,18824786,12405331,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
83,1552275986,10.0.2.15,100215,23,40,19943,16384,8192,Sun,Mar,23,46,26,69,0,0,19,42762822,18824826,12405375,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
84,1552275987,10.0.2.15,100215,23,40,65439,16384,8192,Sun,Mar,23,46,26,69,1,0,19,42762962,18824876,12405412,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
85,1552275987,10.0.2.15,100215,23,40,14121,16384,8192,Sun,Mar,23,46,26,69,0,0,21,42763053,18824931,12405441,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
86,1552275987,10.0.2.15,100215,23,40,17714,16384,8192,Sun,Mar,23,46,27,69,0,0,20,42763139,18824995,12405494,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
87,1552275987,10.0.2.15,100215,23,40,26503,16384,8192,Sun,Mar,23,46,27,69,0,0,20,42763185,18825021,12405520,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
88,1552275987,10.0.2.15,100215,23,40,52555,16384,8192,Sun,Mar,23,46,27,69,0,0,20,42763224,18825054,12405559,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
89,1552275988,10.0.2.15,100215,23,133,28144,16384,8192,Sun,Mar,23,46,27,69,0,0,20,42763264,18825087,12405604,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
90,1552275988,10.0.2.15,100215,23,134,28140,16384,8192,Sun,Mar,23,46,27,69,1,1,19,42763722,18825205,12405658,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
91,1552275988,10.0.2.15,100215,23,134,28136,16384,8192,Sun,Mar,23,46,28,69,0,0,25,42763924,18825253,12405687,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543459,1015488,416764048,1009826982,0,64,Web_Attack
92,1552275988,10.0.2.15,100215,23,135,28131,16384,8192,Sun,Mar,23,46,28,69,0,0,20,42764099,18825311,12405740,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543461,1015490,416764168,1009827102,4.8,64,Web_Attack
93,1552275989,10.0.2.15,100215,23,40,18628,16384,8192,Sun,Mar,23,46,28,69,0,0,20,42764134,18825343,12405785,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543461,1015490,416764168,1009827102,0,64,Web_Attack
94,1552275989,10.0.2.15,100215,23,67,23302,16384,8192,Sun,Mar,23,46,28,69,0,0,20,42764187,18825379,12405818,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543461,1015490,416764168,1009827102,0,64,Web_Attack
95,1552275989,10.0.2.15,100215,23,67,23301,16384,8192,Sun,Mar,23,46,28,69,0,0,20,42764237,18825417,12405865,0,44.4,31.6,144542,389578,2709379072,12338688000,117636,1042812,543461,1015490,416764168,1009827102,0,64,Web_Attack
96,1552275989,10.195.6.40,10195640,394,83,34637,16384,8192,Sun,Mar,23,46,29,69,1,0,19,42764400,18825489,12405920,0,44.4,31.6,144542,389584,2709379072,12338843648,117636,1042816,543461,1015490,416764168,1009827102,0,64,Web_Attack
97,1552275989,172.217.15.100,17221715100,106,1394,54990,16384,8192,Sun,Mar,23,46,29,69,2,0,18,42764634,18825582,12405996,0,44.4,31.6,144542,389584,2709379072,12338843648,117636,1042816,543463,1015495,416764589,1009827873,30,64,Web_Attack
98,1552275990,10.0.2.15,100215,23,186,9752,16384,8192,Sun,Mar,23,46,29,69,3,1,16,42765362,18825896,12406190,0,44.5,31.6,144542,389591,2709379072,12339077120,117636,1042824,543470,1015504,416765243,1009828849,21.1,64,Web_Attack
99,1552275990,172.217.15.100,17221715100,7068,11400,44811,16384,8192,Sun,Mar,23,46,29,69,2,1,16,42766005,18826257,12406327,0,44.5,31.6,144542,389591,2709379072,12339077120,117636,1042824,543474,1015510,416765678,1009829579,4.8,64,Web_Attack
100,1552275990,10.0.2.15,100215,23,60,4223,16384,8192,Sun,Mar,23,46,29,69,1,0,18,42766304,18826390,12406431,0,44.5,31.6,144542,389591,2709379072,12339077120,117636,1042824,543475,1015511,416765894,1009829639,28.6,64,Web_Attack
101,1552275990,172.217.164.130,1.72E+11,9332,509,17414,16384,8192,Sun,Mar,23,46,30,69,2,1,16,42767318,18826765,12406580,0,44.5,31.6,144542,389591,2709379072,12339077120,117636,1042824,543482,1015523,416766550,1009831114,5,64,Web_Attack
102,1552275990,10.0.2.15,100215,23,40,2311,16384,8192,Sun,Mar,23,46,30,69,2,1,17,42767935,18826952,12406671,0,44.5,31.6,144542,389591,2709379072,12339077120,117636,1042824,543486,1015529,416766987,1009831843,10,64,Web_Attack
103,1552275991,10.0.2.15,100215,23,64,15193,16384,8192,Sun,Mar,23,46,30,69,3,1,16,42768432,18827101,12406777,0,44.5,31.6,144542,389591,2709379072,12339077120,117636,1042824,543502,1015540,416768713,1009832751,47.4,64,Web_Attack
104,1552275991,10.0.2.15,100215,23,40,4790,16384,8192,Sun,Mar,23,46,30,69,10,4,4,42770571,18827740,12407094,0,44.5,31.6,144544,389591,2709391360,12339077120,117636,1042824,543559,1015623,416776068,1009886783,35,64,Web_Attack
105,1552275991,172.217.164.174,1.72E+11,3919,40,17821,16384,8192,Sun,Mar,23,46,30,69,4,2,14,42771685,18828236,12407212,0,44.4,31.6,144544,389591,2709391360,12339077120,117636,1042824,543559,1015623,416776068,1009886783,57.9,64,Web_Attack
106,1552275991,172.217.164.174,1.72E+11,8479,40,17820,16384,8192,Sun,Mar,23,46,31,69,11,2,3,42773923,18829026,12407608,0,44.5,31.6,144547,389591,2709407744,12339077120,117640,1042824,543663,1015774,416786812,1010004968,84.2,64,Web_Attack
107,1552275991,10.0.2.15,100215,23,40,34439,16384,8192,Sun,Mar,23,46,31,69,10,3,6,42776184,18829719,12407876,0,44.7,31.6,144547,389601,2709407744,12339355648,117640,1042828,543696,1015883,416788832,1010153870,81,64,Web_Attack
